,year,age,sex,lfp,n,cohort,lfp_pred,lfp_se,lfp_pred2,lfp_se2,lfp_age_avg,lfp_pred3,lfp_se3
0,1976,16,1,42.835133,16430,1960,45.2414322722,0.507778024858,44.9288881286,0.434913700736,39.198872,44.1433957405,0.0557401023452
1,1977,16,1,44.484486,17713,1961,44.5285855627,0.424491185322,45.8848924635,0.366960660078,39.198872,43.901651493,0.0499610673858
2,1978,16,1,45.581497,18008,1962,43.8067231756,0.366675895699,45.8966313024,0.348514892884,39.198872,43.571758422,0.0457566095368
3,1979,16,1,46.495674,17402,1963,43.0830225164,0.330186590959,44.8960963547,0.344938011693,39.198872,43.163429471,0.0428610372505
4,1980,16,1,44.297375,19704,1964,42.3646755116,0.309424544571,43.1174021355,0.343618515481,39.198872,42.6881486775,0.040970985053
5,1981,16,1,41.982475,17986,1965,41.6587765843,0.298584262847,41.0714967704,0.342846701464,39.198872,42.1588241563,0.0397949839449
6,1982,16,1,39.216797,15993,1966,40.9722126327,0.29300389435,39.3754219779,0.342572560902,39.198872,41.5893891352,0.0390948528324
7,1983,16,1,37.434013,15769,1967,40.3115572026,0.289726988118,38.493300564,0.34252007348,39.198872,40.994367121,0.038704287071
8,1984,16,1,38.272076,14983,1968,39.6829709525,0.287321799938,38.5177843805,0.342522865035,39.198872,40.3884214363,0.0385252189507
9,1985,16,1,39.092701,15143,1969,39.092110372,0.285405486472,39.1220155282,0.342608175182,39.198872,39.7859117061,0.0385102828943
10,1986,16,1,39.252632,15211,1970,38.5440465256,0.284159504511,39.7277747032,0.342859076785,39.198872,39.20047974,0.0386398820854
11,1987,16,1,39.442245,15134,1971,38.0431953664,0.283928148813,39.8094898471,0.343253899437,39.198872,38.6446844887,0.0389003715318
12,1988,16,1,40.32299,13272,1972,37.5932609004,0.284923626264,39.1660704073,0.343635244217,39.198872,38.1297008027,0.0392685216652
13,1989,16,1,39.873085,12433,1973,37.197192187,0.28706072884,38.0054157575,0.343980857439,39.198872,37.665090443,0.0397064693632
14,1990,16,1,37.382881,12401,1974,36.8571548483,0.289947245724,36.7980834398,0.344703002968,39.198872,37.2586472995,0.0401700529996
15,1991,16,1,35.060871,12707,1975,36.5745174316,0.293042494017,35.9969176527,0.346332253583,39.198872,36.9163130882,0.0406319510919
16,1992,16,1,35.199909,12203,1976,36.3498526358,0.295983171183,35.7958947776,0.348443378148,39.198872,36.6421556891,0.0411199615461
17,1993,16,1,35.070412,12119,1977,36.1829530855,0.299082227189,36.0645428878,0.349727469167,39.198872,36.4384000911,0.0417690839862
18,1994,16,1,37.560066,12033,1978,36.0728610199,0.304008163406,36.4737990677,0.351688541541,39.198872,36.305501572,0.0428793518549
19,1995,16,1,37.96336,12006,1979,36.0179109675,0.314544353576,36.7112840594,0.360204777052,39.198872,36.2422518601,0.0449530462451
