year,age,sex,lfp,n,cohort,lfp_age_avg
1976,16,1,42.835133,16430,1960,39.198872
1977,16,1,44.484486,17713,1961,39.198872
1978,16,1,45.581497,18008,1962,39.198872
1979,16,1,46.495674,17402,1963,39.198872
1980,16,1,44.297375,19704,1964,39.198872
1981,16,1,41.982475,17986,1965,39.198872
1982,16,1,39.216797,15993,1966,39.198872
1983,16,1,37.434013,15769,1967,39.198872
1984,16,1,38.272076,14983,1968,39.198872
1985,16,1,39.092701,15143,1969,39.198872
1986,16,1,39.252632,15211,1970,39.198872
1987,16,1,39.442245,15134,1971,39.198872
1988,16,1,40.32299,13272,1972,39.198872
1989,16,1,39.873085,12433,1973,39.198872
1990,16,1,37.382881,12401,1974,39.198872
1991,16,1,35.060871,12707,1975,39.198872
1992,16,1,35.199909,12203,1976,39.198872
1993,16,1,35.070412,12119,1977,39.198872
1994,16,1,37.560066,12033,1978,39.198872
1995,16,1,37.96336,12006,1979,39.198872
1996,16,1,36.175518,11220,1980,39.198872
1997,16,1,35.920967,11554,1981,39.198872
1998,16,1,36.179298,11215,1982,39.198872
1999,16,1,35.676441,11306,1983,39.198872
2000,16,1,34.675003,10998,1984,39.198872
2001,16,1,32.971783,12238,1985,39.198872
2002,16,1,28.86203,13191,1986,39.198872
2003,16,1,26.459885,12727,1987,39.198872
2004,16,1,26.259031,12552,1988,39.198872
2005,16,1,25.490686,12826,1989,39.198872
2006,16,1,25.594667,13094,1990,39.198872
2007,16,1,23.241306,12289,1991,39.198872
2008,16,1,22.071995,12273,1992,39.198872
2009,16,1,18.418041,12122,1993,39.198872
2010,16,1,17.569704,11623,1994,39.198872
2011,16,1,14.779425,11221,1995,39.198872
2012,16,1,16.078543,11188,1996,39.198872
2013,16,1,16.070807,10827,1997,39.198872
2014,16,1,16.042601,11006,1998,39.198872
2015,16,1,17.0616,10808,1999,39.198872
2016,16,1,16.714756,10859,2000,39.198872
1976,16,2,34.918461,15872,1960,36.084846
1977,16,2,36.499702,17475,1961,36.084846
1978,16,2,39.969032,17997,1962,36.084846
1979,16,2,39.503002,16719,1963,36.084846
1980,16,2,37.732292,19554,1964,36.084846
1981,16,2,35.839005,17594,1965,36.084846
1982,16,2,34.730904,15906,1966,36.084846
1983,16,2,35.033371,15057,1967,36.084846
1984,16,2,34.631027,14124,1968,36.084846
1985,16,2,35.697353,13943,1969,36.084846
1986,16,2,37.628399,14320,1970,36.084846
1987,16,2,37.843269,14304,1971,36.084846
1988,16,2,37.882145,12689,1972,36.084846
1989,16,2,39.186737,11964,1973,36.084846
1990,16,2,35.150131,12448,1974,36.084846
1991,16,2,32.558861,12065,1975,36.084846
1992,16,2,33.243759,11346,1976,36.084846
1993,16,2,32.79512,11833,1977,36.084846
1994,16,2,36.415161,11496,1978,36.084846
1995,16,2,37.473179,11846,1979,36.084846
1996,16,2,36.977211,10741,1980,36.084846
1997,16,2,34.675182,10892,1981,36.084846
1998,16,2,35.123802,10769,1982,36.084846
1999,16,2,34.529213,10932,1983,36.084846
2000,16,2,35.00737,10554,1984,36.084846
2001,16,2,32.628674,11802,1985,36.084846
2002,16,2,30.802011,12378,1986,36.084846
2003,16,2,27.334103,12042,1987,36.084846
2004,16,2,27.862982,12063,1988,36.084846
2005,16,2,27.752504,12160,1989,36.084846
2006,16,2,26.900345,12651,1990,36.084846
2007,16,2,24.997114,12040,1991,36.084846
2008,16,2,22.432623,11807,1992,36.084846
2009,16,2,19.413971,11495,1993,36.084846
2010,16,2,16.79509,11076,1994,36.084846
2011,16,2,16.792778,10945,1995,36.084846
2012,16,2,17.551735,10610,1996,36.084846
2013,16,2,18.31324,10371,1997,36.084846
2014,16,2,16.796919,10485,1998,36.084846
2015,16,2,16.777426,10185,1999,36.084846
2016,16,2,18.303066,10503,2000,36.084846
1976,17,1,55.870956,16039,1959,52.201778
1977,17,1,58.394062,17540,1960,52.201778
1978,17,1,59.418781,18036,1961,52.201778
1979,17,1,58.787655,17189,1962,52.201778
1980,17,1,57.682644,19847,1963,52.201778
1981,17,1,55.329884,18418,1964,52.201778
1982,17,1,53.060619,16560,1965,52.201778
1983,17,1,50.869888,15874,1966,52.201778
1984,17,1,50.717628,15133,1967,52.201778
1985,17,1,52.108105,14175,1968,52.201778
1986,17,1,52.227634,14514,1969,52.201778
1987,17,1,52.936554,14549,1970,52.201778
1988,17,1,52.149593,13818,1971,52.201778
1989,17,1,53.146778,12766,1972,52.201778
1990,17,1,49.595192,12688,1973,52.201778
1991,17,1,47.162155,12283,1974,52.201778
1992,17,1,47.829983,12271,1975,52.201778
1993,17,1,48.796364,11549,1976,52.201778
1994,17,1,50.986717,11478,1977,52.201778
1995,17,1,50.40551,12025,1978,52.201778
1996,17,1,49.002579,10548,1979,52.201778
1997,17,1,47.609089,10950,1980,52.201778
1998,17,1,50.050171,11200,1981,52.201778
1999,17,1,48.704163,11303,1982,52.201778
2000,17,1,48.125061,10624,1983,52.201778
2001,17,1,45.091022,12181,1984,52.201778
2002,17,1,41.832699,13040,1985,52.201778
2003,17,1,39.456657,13028,1986,52.201778
2004,17,1,37.176876,12116,1987,52.201778
2005,17,1,38.072914,12147,1988,52.201778
2006,17,1,39.382381,12262,1989,52.201778
2007,17,1,36.620434,12648,1990,52.201778
2008,17,1,32.758801,11947,1991,52.201778
2009,17,1,31.106743,12139,1992,52.201778
2010,17,1,27.217093,11966,1993,52.201778
2011,17,1,26.413504,11367,1994,52.201778
2012,17,1,26.353746,10797,1995,52.201778
2013,17,1,27.476448,11073,1996,52.201778
2014,17,1,27.321732,11039,1997,52.201778
2015,17,1,28.102318,10876,1998,52.201778
2016,17,1,28.862947,10580,1999,52.201778
1976,17,2,48.083179,15218,1959,49.335438
1977,17,2,50.364918,16927,1960,49.335438
1978,17,2,52.938389,17847,1961,49.335438
1979,17,2,53.085934,17557,1962,49.335438
1980,17,2,50.731514,19600,1963,49.335438
1981,17,2,50.333492,18001,1964,49.335438
1982,17,2,48.647411,16541,1965,49.335438
1983,17,2,46.948738,15432,1966,49.335438
1984,17,2,48.762806,14913,1967,49.335438
1985,17,2,49.38467,13982,1968,49.335438
1986,17,2,50.72493,13673,1969,49.335438
1987,17,2,51.67955,13949,1970,49.335438
1988,17,2,50.597923,13250,1971,49.335438
1989,17,2,49.87891,12525,1972,49.335438
1990,17,2,48.00209,12128,1973,49.335438
1991,17,2,47.86356,11735,1974,49.335438
1992,17,2,44.930859,11515,1975,49.335438
1993,17,2,45.687546,11097,1976,49.335438
1994,17,2,49.397297,11598,1977,49.335438
1995,17,2,49.640968,11209,1978,49.335438
1996,17,2,49.553303,10388,1979,49.335438
1997,17,2,47.886086,10623,1980,49.335438
1998,17,2,50.38876,10517,1981,49.335438
1999,17,2,48.537701,10739,1982,49.335438
2000,17,2,48.954189,10700,1983,49.335438
2001,17,2,46.947323,11511,1984,49.335438
2002,17,2,44.182404,12137,1985,49.335438
2003,17,2,42.127594,12039,1986,49.335438
2004,17,2,40.216106,11910,1987,49.335438
2005,17,2,41.661129,11700,1988,49.335438
2006,17,2,41.841698,11844,1989,49.335438
2007,17,2,38.436752,12130,1990,49.335438
2008,17,2,36.709843,11721,1991,49.335438
2009,17,2,33.126217,11428,1992,49.335438
2010,17,2,30.213964,11749,1993,49.335438
2011,17,2,28.940327,10796,1994,49.335438
2012,17,2,28.179779,10509,1995,49.335438
2013,17,2,29.007568,10707,1996,49.335438
2014,17,2,29.939592,10536,1997,49.335438
2015,17,2,29.744682,10130,1998,49.335438
2016,17,2,31.564119,10147,1999,49.335438
1976,18,1,67.981613,14260,1958,63.823029
1977,18,1,69.808846,15805,1959,63.823029
1978,18,1,70.193085,16843,1960,63.823029
1979,18,1,69.219437,16679,1961,63.823029
1980,18,1,67.847298,18772,1962,63.823029
1981,18,1,66.408905,17409,1963,63.823029
1982,18,1,64.881104,16682,1964,63.823029
1983,18,1,63.759499,15539,1965,63.823029
1984,18,1,64.129501,14286,1966,63.823029
1985,18,1,64.751526,13825,1967,63.823029
1986,18,1,64.718422,12894,1968,63.823029
1987,18,1,63.298775,13067,1969,63.823029
1988,18,1,63.773354,12725,1970,63.823029
1989,18,1,65.201675,12914,1971,63.823029
1990,18,1,61.514408,12344,1972,63.823029
1991,18,1,60.616882,11365,1973,63.823029
1992,18,1,61.577927,11071,1974,63.823029
1993,18,1,59.287506,11057,1975,63.823029
1994,18,1,60.547043,10317,1976,63.823029
1995,18,1,61.392586,10563,1977,63.823029
1996,18,1,60.847546,9678,1978,63.823029
1997,18,1,58.468552,9747,1979,63.823029
1998,18,1,60.760986,10205,1980,63.823029
1999,18,1,60.766201,10366,1981,63.823029
